"Name","Image","Price","Shadow size","Swimming pattern","Time","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"Seaweed","","600","Large","Stationary","All Day","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"Sea grapes","","900","Medium","Stationary","All Day","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"Sea cucumber","","500","Medium","Slow Consistent Movement","All Day","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE"
"Sea pig","","10000","Medium","Quick Long Lunges","4 pm - 9 am","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Sea star","","500","Medium","Slow Short Lunges","All Day","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"Sea urchin","","1700","Medium","Slow Consistent Movement","All Day","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"Slate pencil urchin","","2000","Large","Medium Consistent Movement","4 pm - 9 am","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE"
"Sea anemone","","500","Large","Stationary","All Day","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"Moon jellyfish","","600","Small","Slow Consistent Movement","All Day","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE"
"Sea slug","","600","Small","Slow Consistent Movement","All Day","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"Pearl oyster","","2800","Medium","Moderate Long Lunges","All Day","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"Mussel","","1500","Small","Slow Consistent Movement","All Day","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE"
"Oyster","","1100","Small","Slow Short Lunges","All Day","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE"
"Scallop","","1200","Large","Slow Long Lunges","All Day","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"Whelk","","1000","Medium","Slow Consistent Movement","All Day","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE"
"Turban shell","","1000","Medium","Slow","All Day","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","FALSE"
